vcpu,memoria_gb,reg_Leste dos EUA,reg_Sudeste do Brasil,preco_real,preco_previsto,regiao
48.0,192.0,False,True,5.304,6.1197382234670314,Sudeste do Brasil
96.0,768.0,False,True,18.693,15.500341022346031,Sudeste do Brasil
2.0,16.0,False,True,0.391,0.32837288552780697,Sudeste do Brasil
48.0,384.0,False,True,8.315,7.771631736064754,Sudeste do Brasil
32.0,128.0,False,True,4.654,3.9873756852716173,Sudeste do Brasil
128.0,1024.0,True,False,14.355,12.375899687612478,Leste dos EUA
8.0,16.0,False,True,0.594,0.6609648806683512,Sudeste do Brasil
4.0,16.0,False,True,0.562,0.5026364572552121,Sudeste do Brasil
16.0,64.0,True,False,1.379,1.224896107087339,Leste dos EUA
64.0,256.0,False,True,5.722,8.220689093444015,Sudeste do Brasil
32.0,128.0,False,True,5.008,3.9873756852716173,Sudeste do Brasil
96.0,384.0,True,False,4.608,7.251830546854872,Leste dos EUA
64.0,512.0,True,False,7.552,5.6109942145193905,Leste dos EUA
8.0,16.0,False,True,0.731,0.6609648806683512,Sudeste do Brasil
8.0,64.0,False,True,1.413,1.3083270521791253,Sudeste do Brasil
32.0,128.0,True,False,1.536,2.434626630912791,Leste dos EUA
32.0,256.0,True,False,3.488,2.896312203738599,Leste dos EUA
8.0,32.0,False,True,1.164,1.025730684820541,Sudeste do Brasil
32.0,128.0,True,False,1.824,2.434626630912791,Leste dos EUA
112.0,896.0,False,True,14.494,20.929172184704175,Sudeste do Brasil
64.0,512.0,False,True,10.886,10.329739461854851,Sudeste do Brasil
32.0,128.0,False,True,3.307,3.9873756852716173,Sudeste do Brasil
8.0,64.0,True,False,0.452,0.7369366816933107,Leste dos EUA
32.0,128.0,True,False,3.296,2.434626630912791,Leste dos EUA
16.0,64.0,False,True,2.609,1.9443770663041706,Sudeste do Brasil
32.0,128.0,False,True,3.182,3.9873756852716173,Sudeste do Brasil
8.0,32.0,True,False,0.723,0.6215957385009458,Leste dos EUA
20.0,160.0,False,True,2.986,3.3189621741091586,Sudeste do Brasil
96.0,768.0,True,False,11.328,8.652382112247652,Leste dos EUA
64.0,512.0,False,True,9.664,10.329739461854851,Sudeste do Brasil
64.0,256.0,False,True,8.666,8.220689093444015,Sudeste do Brasil
96.0,768.0,True,False,11.386,8.652382112247652,Leste dos EUA
104.0,832.0,False,True,19.73,17.149633791822392,Sudeste do Brasil
8.0,64.0,False,True,0.941,1.3083270521791253,Sudeste do Brasil
16.0,32.0,False,True,1.332,1.3358307929203141,Sudeste do Brasil
8.0,64.0,True,False,0.477,0.7369366816933107,Leste dos EUA
2.0,8.0,True,False,0.117,0.15637214446073341,Leste dos EUA
16.0,128.0,True,False,1.308,1.4255148438996539,Leste dos EUA
64.0,512.0,False,True,11.305,10.329739461854851,Sudeste do Brasil
2.0,8.0,False,True,0.307,0.25115798754736457,Sudeste do Brasil
48.0,192.0,False,True,4.774,6.1197382234670314,Sudeste do Brasil
104.0,832.0,False,True,21.738,17.149633791822392,Sudeste do Brasil
16.0,128.0,True,False,1.008,1.4255148438996539,Leste dos EUA
2.0,8.0,True,False,0.205,0.15637214446073341,Leste dos EUA
4.0,16.0,False,True,0.468,0.5026364572552121,Sudeste do Brasil
16.0,128.0,False,True,2.899,2.633932034475836,Sudeste do Brasil
4.0,32.0,True,False,0.436,0.35319930310589664,Leste dos EUA
32.0,256.0,False,True,4.181,5.215625603428959,Sudeste do Brasil
8.0,64.0,False,True,1.082,1.3083270521791253,Sudeste do Brasil
48.0,384.0,False,True,8.793,7.771631736064754,Sudeste do Brasil
64.0,256.0,True,False,6.24,4.7679643453330005,Leste dos EUA
96.0,768.0,False,True,16.33,15.500341022346031,Sudeste do Brasil
16.0,64.0,False,True,2.322,1.9443770663041706,Sudeste do Brasil
8.0,64.0,True,False,0.504,0.7369366816933107,Leste dos EUA
20.0,160.0,False,True,3.391,3.3189621741091586,Sudeste do Brasil
4.0,16.0,True,False,0.345,0.3030517787417105,Leste dos EUA
8.0,64.0,True,False,0.654,0.7369366816933107,Leste dos EUA
8.0,16.0,False,True,0.666,0.6609648806683512,Sudeste do Brasil
2.0,8.0,False,True,0.179,0.25115798754736457,Sudeste do Brasil
16.0,64.0,True,False,1.64,1.224896107087339,Leste dos EUA
8.0,16.0,False,True,0.629,0.6609648806683512,Sudeste do Brasil
32.0,256.0,False,True,6.36,5.215625603428959,Sudeste do Brasil
4.0,16.0,True,False,0.41,0.3030517787417105,Leste dos EUA
96.0,768.0,True,False,5.722,8.652382112247652,Leste dos EUA
16.0,128.0,False,True,2.09,2.633932034475836,Sudeste do Brasil
96.0,768.0,False,True,11.294,15.500341022346031,Sudeste do Brasil
16.0,128.0,False,True,2.163,2.633932034475836,Sudeste do Brasil
48.0,192.0,True,False,2.648,3.6879610522483173,Leste dos EUA
64.0,512.0,True,False,3.662,5.6109942145193905,Leste dos EUA
32.0,256.0,False,True,4.888,5.215625603428959,Sudeste do Brasil
8.0,32.0,True,False,0.712,0.6215957385009458,Leste dos EUA
4.0,32.0,True,False,0.472,0.35319930310589664,Leste dos EUA
112.0,896.0,True,False,13.222,10.850598666194921,Leste dos EUA
32.0,256.0,False,True,5.653,5.215625603428959,Sudeste do Brasil
4.0,16.0,True,False,0.433,0.3030517787417105,Leste dos EUA
64.0,512.0,False,True,11.306,10.329739461854851,Sudeste do Brasil
2.0,16.0,True,False,0.236,0.18311594176119286,Leste dos EUA
4.0,32.0,True,False,0.436,0.35319930310589664,Leste dos EUA
32.0,256.0,False,True,5.653,5.215625603428959,Sudeste do Brasil
8.0,32.0,True,False,0.752,0.6215957385009458,Leste dos EUA
16.0,128.0,False,True,3.18,2.633932034475836,Sudeste do Brasil
20.0,160.0,False,True,3.624,3.3189621741091586,Sudeste do Brasil
128.0,512.0,True,False,7.973,10.667415468593834,Leste dos EUA
96.0,384.0,True,False,5.613,7.251830546854872,Leste dos EUA
1.0,2.0,False,True,0.0258,0.028877984676434695,Sudeste do Brasil
48.0,384.0,False,True,6.536,7.771631736064754,Sudeste do Brasil
48.0,192.0,True,False,2.712,3.6879610522483173,Leste dos EUA
4.0,16.0,True,False,0.206,0.3030517787417105,Leste dos EUA
64.0,256.0,True,False,2.893,4.7679643453330005,Leste dos EUA
24.0,96.0,True,False,3.816,2.7505662857142834,Leste dos EUA
16.0,128.0,True,False,1.152,1.4255148438996539,Leste dos EUA
32.0,128.0,False,True,4.779,3.9873756852716173,Sudeste do Brasil
4.0,32.0,True,False,0.262,0.35319930310589664,Leste dos EUA
64.0,256.0,False,True,9.308,8.220689093444015,Sudeste do Brasil
16.0,64.0,True,False,1.56,1.224896107087339,Leste dos EUA
8.0,64.0,False,True,0.941,1.3083270521791253,Sudeste do Brasil
16.0,128.0,False,True,2.416,2.633932034475836,Sudeste do Brasil
16.0,64.0,True,False,0.768,1.224896107087339,Leste dos EUA
48.0,384.0,True,False,5.232,4.151974423277217,Leste dos EUA
48.0,192.0,False,True,7.169,6.1197382234670314,Sudeste do Brasil
2.0,4.0,False,True,0.184,0.08757889513540068,Sudeste do Brasil
128.0,512.0,True,False,10.465,10.667415468593834,Leste dos EUA
2.0,8.0,False,True,0.207,0.25115798754736457,Sudeste do Brasil
2.0,16.0,True,False,0.115,0.18311594176119286,Leste dos EUA
8.0,32.0,True,False,0.78,0.6215957385009458,Leste dos EUA
16.0,64.0,False,True,2.407,1.9443770663041706,Sudeste do Brasil
32.0,128.0,False,True,4.342,3.9873756852716173,Sudeste do Brasil
32.0,128.0,True,False,2.616,2.434626630912791,Leste dos EUA
48.0,192.0,True,False,2.17,3.6879610522483173,Leste dos EUA
96.0,384.0,True,False,4.608,7.251830546854872,Leste dos EUA
32.0,128.0,True,False,2.096,2.434626630912791,Leste dos EUA
16.0,64.0,False,True,1.873,1.9443770663041706,Sudeste do Brasil
32.0,128.0,False,True,5.216,3.9873756852716173,Sudeste do Brasil
64.0,256.0,True,False,6.24,4.7679643453330005,Leste dos EUA
8.0,32.0,False,True,0.936,1.025730684820541,Sudeste do Brasil
2.0,16.0,True,False,0.236,0.18311594176119286,Leste dos EUA
16.0,128.0,True,False,1.744,1.4255148438996539,Leste dos EUA
32.0,128.0,True,False,3.465,2.434626630912791,Leste dos EUA
96.0,384.0,False,True,11.232,12.066771632625619,Sudeste do Brasil
96.0,768.0,False,True,14.496,15.500341022346031,Sudeste do Brasil
2.0,4.0,False,True,0.183,0.08757889513540068,Sudeste do Brasil
8.0,32.0,True,False,0.363,0.6215957385009458,Leste dos EUA
32.0,128.0,True,False,1.536,2.434626630912791,Leste dos EUA
96.0,768.0,False,True,13.169,15.500341022346031,Sudeste do Brasil
64.0,512.0,True,False,6.56,5.6109942145193905,Leste dos EUA
96.0,384.0,True,False,5.424,7.251830546854872,Leste dos EUA
2.0,16.0,True,False,0.224,0.18311594176119286,Leste dos EUA
96.0,768.0,False,True,17.395,15.500341022346031,Sudeste do Brasil
32.0,64.0,True,False,1.478,1.2754421063372905,Leste dos EUA
32.0,256.0,False,True,4.39,5.215625603428959,Sudeste do Brasil
48.0,192.0,True,False,4.512,3.6879610522483173,Leste dos EUA
64.0,256.0,True,False,6.24,4.7679643453330005,Leste dos EUA
2.0,8.0,False,True,0.291,0.25115798754736457,Sudeste do Brasil
64.0,256.0,False,True,6.364,8.220689093444015,Sudeste do Brasil
48.0,384.0,False,True,9.54,7.771631736064754,Sudeste do Brasil
64.0,256.0,True,False,2.906,4.7679643453330005,Leste dos EUA
8.0,64.0,True,False,0.872,0.7369366816933107,Leste dos EUA
32.0,256.0,False,True,5.426,5.215625603428959,Sudeste do Brasil
8.0,64.0,True,False,0.504,0.7369366816933107,Leste dos EUA
4.0,16.0,False,True,0.582,0.5026364572552121,Sudeste do Brasil
48.0,192.0,True,False,4.92,3.6879610522483173,Leste dos EUA
4.0,16.0,False,True,0.597,0.5026364572552121,Sudeste do Brasil
4.0,8.0,True,False,0.153,0.15506434775639996,Leste dos EUA
64.0,256.0,True,False,2.573,4.7679643453330005,Leste dos EUA
8.0,32.0,True,False,0.384,0.6215957385009458,Leste dos EUA
32.0,64.0,False,True,2.376,2.5906681761922727,Sudeste do Brasil
96.0,384.0,True,False,4.608,7.251830546854872,Leste dos EUA
32.0,256.0,False,True,5.653,5.215625603428959,Sudeste do Brasil
64.0,512.0,True,False,7.59,5.6109942145193905,Leste dos EUA
8.0,32.0,True,False,0.363,0.6215957385009458,Leste dos EUA
4.0,32.0,False,True,0.707,0.6495326229833788,Sudeste do Brasil
16.0,128.0,False,True,2.757,2.633932034475836,Sudeste do Brasil
2.0,8.0,False,True,0.281,0.25115798754736457,Sudeste do Brasil
8.0,32.0,True,False,0.654,0.6215957385009458,Leste dos EUA
32.0,128.0,False,True,3.182,3.9873756852716173,Sudeste do Brasil
32.0,256.0,True,False,3.776,2.896312203738599,Leste dos EUA
96.0,768.0,True,False,10.464,8.652382112247652,Leste dos EUA
16.0,32.0,True,False,0.55,0.6554125421290509,Leste dos EUA
2.0,16.0,False,True,0.327,0.32837288552780697,Sudeste do Brasil
2.0,8.0,True,False,0.113,0.15637214446073341,Leste dos EUA
16.0,32.0,False,True,1.114,1.3358307929203141,Sudeste do Brasil
4.0,32.0,True,False,0.472,0.35319930310589664,Leste dos EUA
64.0,256.0,True,False,3.072,4.7679643453330005,Leste dos EUA
20.0,160.0,True,False,2.18,1.6914058294386494,Leste dos EUA
128.0,512.0,True,False,17.449,10.667415468593834,Leste dos EUA
2.0,8.0,False,True,0.291,0.25115798754736457,Sudeste do Brasil
4.0,32.0,True,False,0.252,0.35319930310589664,Leste dos EUA
4.0,32.0,False,True,0.862,0.6495326229833788,Sudeste do Brasil
16.0,64.0,False,True,2.452,1.9443770663041706,Sudeste do Brasil
8.0,32.0,True,False,0.69,0.6215957385009458,Leste dos EUA
2.0,8.0,True,False,0.132,0.15637214446073341,Leste dos EUA
16.0,128.0,False,True,2.389,2.633932034475836,Sudeste do Brasil
8.0,64.0,True,False,0.576,0.7369366816933107,Leste dos EUA
16.0,64.0,False,True,2.608,1.9443770663041706,Sudeste do Brasil
64.0,256.0,False,True,6.365,8.220689093444015,Sudeste do Brasil
64.0,512.0,False,True,11.306,10.329739461854851,Sudeste do Brasil
96.0,768.0,True,False,9.84,8.652382112247652,Leste dos EUA
16.0,128.0,True,False,1.152,1.4255148438996539,Leste dos EUA
32.0,256.0,False,True,3.971,5.215625603428959,Sudeste do Brasil
12.0,24.0,True,False,0.499,0.5030601328166749,Leste dos EUA
64.0,512.0,False,True,9.485,10.329739461854851,Sudeste do Brasil
64.0,512.0,False,True,12.429,10.329739461854851,Sudeste do Brasil
48.0,384.0,False,True,8.138,7.771631736064754,Sudeste do Brasil
16.0,128.0,True,False,1.898,1.4255148438996539,Leste dos EUA
4.0,16.0,True,False,0.376,0.3030517787417105,Leste dos EUA
16.0,128.0,False,True,2.371,2.633932034475836,Sudeste do Brasil
8.0,64.0,False,True,1.097,1.3083270521791253,Sudeste do Brasil
64.0,512.0,False,True,7.942,10.329739461854851,Sudeste do Brasil
32.0,256.0,True,False,2.016,2.896312203738599,Leste dos EUA
32.0,256.0,True,False,1.907,2.896312203738599,Leste dos EUA
32.0,256.0,True,False,1.808,2.896312203738599,Leste dos EUA
4.0,32.0,False,True,0.795,0.6495326229833788,Sudeste do Brasil
2.0,16.0,False,True,0.261,0.32837288552780697,Sudeste do Brasil
8.0,64.0,False,True,1.59,1.3083270521791253,Sudeste do Brasil
96.0,768.0,True,False,10.464,8.652382112247652,Leste dos EUA
128.0,512.0,False,True,13.366,17.09600565079364,Sudeste do Brasil
48.0,192.0,True,False,4.608,3.6879610522483173,Leste dos EUA
16.0,128.0,False,True,2.389,2.633932034475836,Sudeste do Brasil
16.0,64.0,True,False,1.504,1.224896107087339,Leste dos EUA
64.0,512.0,False,True,13.795,10.329739461854851,Sudeste do Brasil
16.0,64.0,True,False,0.768,1.224896107087339,Leste dos EUA
48.0,192.0,False,True,6.739,6.1197382234670314,Sudeste do Brasil
16.0,128.0,False,True,2.09,2.633932034475836,Sudeste do Brasil
32.0,64.0,False,True,2.943,2.5906681761922727,Sudeste do Brasil
2.0,8.0,True,False,0.0952,0.15637214446073341,Leste dos EUA
32.0,128.0,True,False,1.469,2.434626630912791,Leste dos EUA
16.0,64.0,False,True,2.327,1.9443770663041706,Sudeste do Brasil
32.0,128.0,True,False,1.765,2.434626630912791,Leste dos EUA
8.0,64.0,False,True,1.413,1.3083270521791253,Sudeste do Brasil
32.0,256.0,False,True,4.181,5.215625603428959,Sudeste do Brasil
8.0,32.0,False,True,1.086,1.025730684820541,Sudeste do Brasil
64.0,512.0,False,True,8.362,10.329739461854851,Sudeste do Brasil
4.0,16.0,True,False,0.446,0.3030517787417105,Leste dos EUA
16.0,64.0,False,True,1.55,1.9443770663041706,Sudeste do Brasil
8.0,32.0,False,True,0.796,1.025730684820541,Sudeste do Brasil
4.0,32.0,False,True,0.611,0.6495326229833788,Sudeste do Brasil
2.0,4.0,True,False,0.0508,0.046874788648479715,Leste dos EUA
16.0,64.0,False,True,1.654,1.9443770663041706,Sudeste do Brasil
64.0,256.0,True,False,6.016,4.7679643453330005,Leste dos EUA
64.0,512.0,False,True,11.306,10.329739461854851,Sudeste do Brasil
128.0,1024.0,False,True,17.559,23.017351760003077,Sudeste do Brasil
160.0,640.0,True,False,6.432,11.817423708735703,Leste dos EUA
8.0,64.0,True,False,0.872,0.7369366816933107,Leste dos EUA
4.0,16.0,True,False,0.376,0.3030517787417105,Leste dos EUA
4.0,32.0,True,False,0.474,0.35319930310589664,Leste dos EUA
64.0,256.0,True,False,2.938,4.7679643453330005,Leste dos EUA
48.0,192.0,False,True,6.857,6.1197382234670314,Sudeste do Brasil
16.0,128.0,True,False,2.044,1.4255148438996539,Leste dos EUA
32.0,128.0,True,False,2.758,2.434626630912791,Leste dos EUA
2.0,8.0,False,True,0.199,0.25115798754736457,Sudeste do Brasil
4.0,32.0,False,True,0.725,0.6495326229833788,Sudeste do Brasil
8.0,64.0,False,True,1.097,1.3083270521791253,Sudeste do Brasil
96.0,768.0,False,True,17.395,15.500341022346031,Sudeste do Brasil
48.0,384.0,True,False,5.232,4.151974423277217,Leste dos EUA
16.0,64.0,False,True,2.635,1.9443770663041706,Sudeste do Brasil
48.0,192.0,True,False,1.848,3.6879610522483173,Leste dos EUA
16.0,64.0,True,False,0.997,1.224896107087339,Leste dos EUA
64.0,512.0,True,False,6.976,5.6109942145193905,Leste dos EUA
2.0,16.0,True,False,0.101,0.18311594176119286,Leste dos EUA
128.0,1024.0,True,False,14.355,12.375899687612478,Leste dos EUA
4.0,16.0,True,False,0.452,0.3030517787417105,Leste dos EUA
32.0,128.0,False,True,3.746,3.9873756852716173,Sudeste do Brasil
96.0,768.0,True,False,12.265,8.652382112247652,Leste dos EUA
96.0,384.0,False,True,10.024,12.066771632625619,Sudeste do Brasil
8.0,16.0,True,False,0.301,0.31839346571401317,Leste dos EUA
2.0,16.0,True,False,0.126,0.18311594176119286,Leste dos EUA
2.0,16.0,True,False,0.164,0.18311594176119286,Leste dos EUA
2.0,8.0,True,False,0.0702,0.15637214446073341,Leste dos EUA
16.0,32.0,True,False,0.476,0.6554125421290509,Leste dos EUA
32.0,256.0,False,True,4.181,5.215625603428959,Sudeste do Brasil
160.0,1280.0,True,False,16.896,12.907916676587304,Leste dos EUA
2.0,16.0,False,True,0.299,0.32837288552780697,Sudeste do Brasil
64.0,512.0,False,True,8.362,10.329739461854851,Sudeste do Brasil
2.0,4.0,False,True,0.0879,0.08757889513540068,Sudeste do Brasil
16.0,64.0,True,False,0.714,1.224896107087339,Leste dos EUA
2.0,8.0,True,False,0.178,0.15637214446073341,Leste dos EUA
2.0,4.0,False,True,0.184,0.08757889513540068,Sudeste do Brasil
96.0,768.0,False,True,12.542,15.500341022346031,Sudeste do Brasil
1.0,4.0,True,False,0.096,0.13365861426523293,Leste dos EUA
96.0,768.0,False,True,17.585,15.500341022346031,Sudeste do Brasil
32.0,256.0,False,True,5.426,5.215625603428959,Sudeste do Brasil
32.0,128.0,True,False,3.28,2.434626630912791,Leste dos EUA
8.0,16.0,True,False,0.266,0.31839346571401317,Leste dos EUA
4.0,16.0,False,True,0.429,0.5026364572552121,Sudeste do Brasil
4.0,32.0,True,False,0.238,0.35319930310589664,Leste dos EUA
48.0,384.0,False,True,5.957,7.771631736064754,Sudeste do Brasil
2.0,16.0,False,True,0.346,0.32837288552780697,Sudeste do Brasil
32.0,128.0,False,True,3.746,3.9873756852716173,Sudeste do Brasil
8.0,32.0,True,False,0.771,0.6215957385009458,Leste dos EUA
128.0,512.0,True,False,5.146,10.667415468593834,Leste dos EUA
16.0,128.0,True,False,1.744,1.4255148438996539,Leste dos EUA
1.0,2.0,True,False,0.0207,0.013521219047619047,Leste dos EUA
4.0,16.0,False,True,0.413,0.5026364572552121,Sudeste do Brasil
20.0,80.0,True,False,1.31,1.5554289122113842,Leste dos EUA
128.0,1024.0,True,False,10.465,12.375899687612478,Leste dos EUA
4.0,32.0,False,True,0.623,0.6495326229833788,Sudeste do Brasil
32.0,256.0,False,True,5.798,5.215625603428959,Sudeste do Brasil
48.0,192.0,True,False,1.93,3.6879610522483173,Leste dos EUA
8.0,32.0,True,False,0.82,0.6215957385009458,Leste dos EUA
64.0,512.0,True,False,7.712,5.6109942145193905,Leste dos EUA
4.0,32.0,False,True,0.678,0.6495326229833788,Sudeste do Brasil
8.0,32.0,True,False,0.381,0.6215957385009458,Leste dos EUA
8.0,64.0,True,False,0.403,0.7369366816933107,Leste dos EUA
8.0,64.0,True,False,0.504,0.7369366816933107,Leste dos EUA
4.0,32.0,True,False,0.288,0.35319930310589664,Leste dos EUA
64.0,256.0,True,False,4.234,4.7679643453330005,Leste dos EUA
20.0,80.0,True,False,1.31,1.5554289122113842,Leste dos EUA
96.0,384.0,False,True,9.547,12.066771632625619,Sudeste do Brasil
96.0,768.0,True,False,9.84,8.652382112247652,Leste dos EUA
4.0,32.0,False,True,0.517,0.6495326229833788,Sudeste do Brasil
4.0,16.0,False,True,0.626,0.5026364572552121,Sudeste do Brasil
16.0,128.0,True,False,1.744,1.4255148438996539,Leste dos EUA
96.0,768.0,True,False,10.382,8.652382112247652,Leste dos EUA
128.0,512.0,False,True,19.254,17.09600565079364,Sudeste do Brasil
48.0,384.0,True,False,6.132,4.151974423277217,Leste dos EUA
64.0,512.0,False,True,11.742,10.329739461854851,Sudeste do Brasil
